,Trend Component,,DATE,PINTI17Q1,,,,,,,,
219,1061.6375,,2001:Q3,1069.1,,,,,,,,
220,1039.65,,2001:Q4,1043.8,,,,,,,,
221,1017.25,,2002:Q1,1006.7,,,,,,,,
222,999.075,,2002:Q2,993.1,,,,,,,,
223,990.725,,2002:Q3,981.7,,,,,,,,
224,990.5125,,2002:Q4,985.8,,,,,,,,
225,991.9875,,2003:Q1,997.9,,,,,,,,
226,990.4,,2003:Q2,1000.2,,,,,,,,
227,980.725,,2003:Q3,986.4,,,,,,,,
228,964.05,,2003:Q4,968.4,,,,,,,,
229,948.7625,,2004:Q1,937.9,,,,,,,,
230,942.1625,,2004:Q2,926.8,,,,,,,,
231,952.325,,2004:Q3,937.5,,,,,,,,
232,981.2125,,2004:Q4,964.5,,,,,,,,
233,1020.975,,2005:Q1,1023.1,,,,,,,,
234,1065.325,,2005:Q2,1072.7,,,,,,,,
235,1105.575,,2005:Q3,1109.7,,,,,,,,
236,1139.1125,,2005:Q4,1147.1,,,,,,,,
237,1171.075,,2006:Q1,1162.5,,,,,,,,
238,1200.8375,,2006:Q2,1201.6,,,,,,,,
239,1230.6375,,2006:Q3,1236.5,,,,,,,,
240,1264.9,,2006:Q4,1258.4,,,,,,,,
241,1301.5,,2007:Q1,1289.6,,,,,,,,
242,1334.925,,2007:Q2,1348.6,,,,,,,,
243,1359.3375,,2007:Q3,1382.3,,,,,,,,
244,1369.8875,,2007:Q4,1380,,,,,,,,
245,1370.4625,,2008:Q1,1363.3,,,,,,,,
246,1365.6625,,2008:Q2,1359.3,,,,,,,,
247,1353.6625,,2008:Q3,1376.2,,,,,,,,
248,1336.275,,2008:Q4,1347.7,,,,,,,,
249,1311.2125,,2009:Q1,1299.6,,,,,,,,
250,1279.9125,,2009:Q2,1283.9,,,,,,,,
251,1251.9875,,2009:Q3,1251.1,,,,,,,,
252,1228.6875,,2009:Q4,1222.4,,,,,,,,
253,1209.2875,,2010:Q1,1201.5,,,,,,,,
254,1197.9875,,2010:Q2,1195.6,,,,,,,,
255,1197.0125,,2010:Q3,1184.2,,,,,,,,
256,1204.0375,,2010:Q4,1198.9,,,,,,,,
257,1215.4125,,2011:Q1,1217.2,,,,,,,,
258,1226.6625,,2011:Q2,1236.1,,,,,,,,
259,1238.2375,,2011:Q3,1234.7,,,,,,,,
260,1252.2375,,2011:Q4,1238.4,,,,,,,,
261,1266.4875,,2012:Q1,1270.3,,,,,,,,
262,1281.1,,2012:Q2,1295,,,,,,,,
263,1290.1375,,2012:Q3,1289.8,,,,,,,,
264,1285.825,,2012:Q4,1300.2,,,,,,,,
265,1275.5625,,2013:Q1,1280.8,,,,,,,,
266,1266.275,,2013:Q2,1250,,,,,,,,
267,1262.125,,2013:Q3,1252.7,,,,,,,,
268,1269.175,,2013:Q4,1263,,,,,,,,
269,1283.1125,,2014:Q1,1284.8,,,,,,,,
270,1295.7,,2014:Q2,1302.4,,detrended forecast,Final Forecast,res,APE,,TAPE,MAPE
